timestamp,inf_time_ms,fps,detections
2026-02-12T05:32:13.004093,25.98,9.48,0
2026-02-12T05:32:13.033146,27.04,9.51,0
2026-02-12T05:32:13.067261,27.58,9.54,0
2026-02-12T05:32:13.098472,25.69,9.57,0
2026-02-12T05:32:13.131929,25.39,9.59,0
2026-02-12T05:32:13.163902,24.52,9.62,0
2026-02-12T05:32:13.198581,24.60,9.65,0
2026-02-12T05:32:13.229382,24.27,9.68,0
2026-02-12T05:32:13.263316,23.76,9.71,0
2026-02-12T05:32:13.304691,23.93,9.73,0
2026-02-12T05:32:13.328481,22.46,9.76,0
2026-02-12T05:32:13.363079,22.23,9.79,0
2026-02-12T05:32:13.397637,22.53,9.81,0
2026-02-12T05:32:13.427134,22.68,9.84,0
2026-02-12T05:32:13.464991,24.49,9.87,0
2026-02-12T05:32:13.495283,22.54,9.90,0
2026-02-12T05:32:13.527856,21.94,9.92,0
2026-02-12T05:32:13.561662,21.52,9.95,0
2026-02-12T05:32:13.597073,20.77,9.98,0
2026-02-12T05:32:13.625475,20.35,10.00,0
2026-02-12T05:32:13.661356,22.61,10.03,0
2026-02-12T05:32:13.700214,24.75,10.05,0
2026-02-12T05:32:13.771260,24.41,10.07,0
2026-02-12T05:32:13.790349,18.88,10.10,0
2026-02-12T05:32:13.808428,17.88,10.13,0
2026-02-12T05:32:13.826538,17.92,10.16,0
2026-02-12T05:32:13.857415,18.58,10.19,0
2026-02-12T05:32:13.893357,20.85,10.22,0
2026-02-12T05:32:13.936761,27.55,10.24,0
2026-02-12T05:32:13.956527,18.59,10.27,0
2026-02-12T05:32:13.992650,20.45,10.29,0
2026-02-12T05:32:14.027845,22.46,10.32,0
2026-02-12T05:32:14.067143,27.27,10.34,0
2026-02-12T05:32:14.093699,22.57,10.37,0
2026-02-12T05:32:14.129170,25.21,10.40,0
2026-02-12T05:32:14.165316,23.41,10.42,0
2026-02-12T05:32:14.192546,21.87,10.45,0
2026-02-12T05:32:14.232162,20.83,10.47,0
2026-02-12T05:32:14.261438,20.70,10.50,0
2026-02-12T05:32:14.304903,26.21,10.52,0
2026-02-12T05:32:14.333946,21.97,10.55,0
2026-02-12T05:32:14.371576,25.88,10.57,0
2026-02-12T05:32:14.391421,19.64,10.60,0
2026-02-12T05:32:14.423013,18.52,10.63,0
2026-02-12T05:32:14.456751,18.81,10.65,0
2026-02-12T05:32:14.495838,24.88,10.67,0
2026-02-12T05:32:14.529631,22.00,10.70,0
2026-02-12T05:32:14.558092,20.56,10.73,0
2026-02-12T05:32:14.594591,23.53,10.75,0
2026-02-12T05:32:14.630794,22.26,10.77,0
2026-02-12T05:32:14.664037,25.84,10.80,0
2026-02-12T05:32:14.693360,22.65,10.82,0
2026-02-12T05:32:14.735364,24.50,10.84,0
2026-02-12T05:32:14.763655,24.77,10.87,0
2026-02-12T05:32:14.796524,25.35,10.89,0
2026-02-12T05:32:14.841963,30.49,10.91,0
2026-02-12T05:32:14.870791,28.62,10.94,0
2026-02-12T05:32:14.902202,28.20,10.97,0
2026-02-12T05:32:14.938312,30.98,10.99,0
2026-02-12T05:32:14.979211,32.98,11.01,0
2026-02-12T05:32:15.009024,29.57,11.03,0
2026-02-12T05:32:15.040070,30.81,11.06,0
2026-02-12T05:32:15.070415,30.11,11.08,0
2026-02-12T05:32:15.101888,28.37,11.11,0
2026-02-12T05:32:15.140930,29.78,11.13,0
2026-02-12T05:32:15.167154,25.83,11.16,0
2026-02-12T05:32:15.207414,25.05,11.18,0
2026-02-12T05:32:15.234973,25.01,11.20,0
2026-02-12T05:32:15.264216,24.50,11.23,0
2026-02-12T05:32:15.301205,25.94,11.25,0
2026-02-12T05:32:15.331872,25.25,11.28,0
2026-02-12T05:32:15.363717,23.64,11.30,0
2026-02-12T05:32:15.399208,23.15,11.32,0
2026-02-12T05:32:15.431929,24.08,11.35,0
2026-02-12T05:32:15.464313,23.42,11.37,0
2026-02-12T05:32:15.496759,24.33,11.39,0
2026-02-12T05:32:15.530861,23.73,11.42,0
2026-02-12T05:32:15.567018,25.77,11.44,0
2026-02-12T05:32:15.597946,25.43,11.46,0
2026-02-12T05:32:15.632288,25.56,11.48,0
2026-02-12T05:32:15.672024,27.62,11.50,0
2026-02-12T05:32:15.702527,26.58,11.53,0
2026-02-12T05:32:15.739564,30.98,11.55,0
2026-02-12T05:32:15.773505,33.68,11.57,0
2026-02-12T05:32:15.812476,34.42,11.59,0
2026-02-12T05:32:15.852298,39.61,11.61,0
2026-02-12T05:32:15.892540,40.02,11.63,0
2026-02-12T05:32:15.935578,42.81,11.65,0
2026-02-12T05:32:15.977767,41.95,11.67,0
2026-02-12T05:32:16.018822,40.82,11.69,0
2026-02-12T05:32:16.058088,39.00,11.71,0
2026-02-12T05:32:16.098908,38.27,11.73,0
2026-02-12T05:32:16.137384,36.70,11.75,0
2026-02-12T05:32:16.172340,34.74,11.77,0
2026-02-12T05:32:16.207778,35.21,11.79,0
2026-02-12T05:32:16.241327,33.32,11.81,0
2026-02-12T05:32:16.273656,30.59,11.83,0
2026-02-12T05:32:16.307476,29.78,11.85,0
2026-02-12T05:32:16.338175,30.38,11.88,0
2026-02-12T05:32:16.368883,29.41,11.90,0
2026-02-12T05:32:16.401535,29.45,11.92,0
2026-02-12T05:32:16.438314,28.56,11.94,0
2026-02-12T05:32:16.489673,28.59,11.96,0
2026-02-12T05:32:16.514940,25.04,11.98,0
2026-02-12T05:32:16.541461,26.28,12.01,0
2026-02-12T05:32:16.571994,26.01,12.03,0
2026-02-12T05:32:16.599844,27.58,12.05,0
2026-02-12T05:32:16.633131,26.82,12.07,0
2026-02-12T05:32:16.664214,25.68,12.10,0
2026-02-12T05:32:16.697768,25.08,12.12,0
2026-02-12T05:32:16.730656,25.33,12.14,0
2026-02-12T05:32:16.763299,25.13,12.16,0
2026-02-12T05:32:16.799664,28.04,12.18,0
2026-02-12T05:32:16.832682,26.45,12.20,0
2026-02-12T05:32:16.863795,24.67,12.22,0
2026-02-12T05:32:16.896053,24.71,12.24,0
2026-02-12T05:32:16.930786,24.74,12.26,0
2026-02-12T05:32:16.962495,25.18,12.29,0
2026-02-12T05:32:16.999852,27.29,12.31,0
2026-02-12T05:32:17.033391,27.07,12.33,0
2026-02-12T05:32:17.065769,25.45,12.35,0
2026-02-12T05:32:17.099564,25.10,12.37,0
2026-02-12T05:32:17.133190,23.89,12.39,0
2026-02-12T05:32:17.167374,25.28,12.41,0
2026-02-12T05:32:17.200452,23.92,12.43,0
2026-02-12T05:32:17.233082,22.68,12.45,0
2026-02-12T05:32:17.267733,22.47,12.47,0
2026-02-12T05:32:17.310297,21.49,12.49,0
2026-02-12T05:32:17.336380,20.31,12.51,0
2026-02-12T05:32:17.372122,20.62,12.53,0
2026-02-12T05:32:17.403042,20.27,12.55,0
2026-02-12T05:32:17.438099,21.09,12.57,0
2026-02-12T05:32:17.471061,21.60,12.59,0
2026-02-12T05:32:17.505417,22.31,12.61,0
2026-02-12T05:32:17.543359,24.55,12.63,0
2026-02-12T05:32:17.573843,24.06,12.65,0
2026-02-12T05:32:17.603244,19.20,12.67,0
2026-02-12T05:32:17.645700,22.42,12.69,0
2026-02-12T05:32:17.676763,19.55,12.71,0
2026-02-12T05:32:17.704373,17.12,12.73,0
2026-02-12T05:32:17.735846,20.16,12.75,0
2026-02-12T05:32:17.776411,27.15,12.77,0
2026-02-12T05:32:17.804064,21.06,12.79,0
2026-02-12T05:32:17.836799,20.75,12.81,0
2026-02-12T05:32:17.871397,18.20,12.83,0
2026-02-12T05:32:17.902593,18.12,12.85,0
2026-02-12T05:32:17.935158,19.54,12.87,0
2026-02-12T05:32:17.974170,21.65,12.88,0
2026-02-12T05:32:18.015929,20.02,12.90,0
2026-02-12T05:32:18.036775,20.13,12.93,0
2026-02-12T05:32:18.074895,23.01,12.94,0
2026-02-12T05:32:18.111833,27.40,12.96,0
2026-02-12T05:32:18.140934,20.63,12.98,0
