timestamp,e2e_latency_ms,fps
2026-02-12T05:58:21.372909,24.63,40.32
2026-02-12T05:58:21.431032,41.23,24.18
2026-02-12T05:58:21.466908,52.52,19.00
2026-02-12T05:58:21.507104,58.77,16.96
2026-02-12T05:58:21.530169,47.64,20.90
2026-02-12T05:58:21.557895,44.33,22.49
2026-02-12T05:58:21.669479,117.40,8.50
2026-02-12T05:58:21.712228,59.68,16.72
2026-02-12T05:58:21.740669,55.24,18.06
2026-02-12T05:58:21.761102,41.20,24.18
2026-02-12T05:58:21.780890,26.61,37.43
2026-02-12T05:58:21.811210,24.11,41.20
2026-02-12T05:58:21.847091,24.12,41.28
2026-02-12T05:58:21.873898,19.78,50.22
2026-02-12T05:58:21.909291,23.23,42.69
2026-02-12T05:58:21.943342,22.80,43.61
2026-02-12T05:58:21.976072,21.28,46.74
2026-02-12T05:58:22.014078,24.21,41.11
2026-02-12T05:58:22.046315,24.21,41.11
2026-02-12T05:58:22.074936,20.98,47.37
2026-02-12T05:58:22.115421,22.86,43.54
2026-02-12T05:58:22.148379,24.88,39.95
2026-02-12T05:58:22.178962,21.66,45.94
2026-02-12T05:58:22.215586,23.30,42.47
2026-02-12T05:58:22.247909,21.96,45.33
2026-02-12T05:58:22.277198,17.27,57.46
2026-02-12T05:58:22.319850,23.73,41.91
2026-02-12T05:58:22.355633,26.55,37.51
2026-02-12T05:58:22.383525,22.64,43.94
2026-02-12T05:58:22.418979,20.98,47.20
2026-02-12T05:58:22.455914,23.96,41.54
2026-02-12T05:58:22.484174,20.30,49.00
2026-02-12T05:58:22.540649,34.44,28.93
2026-02-12T05:58:22.581491,44.68,22.33
2026-02-12T05:58:22.606961,37.78,26.37
2026-02-12T05:58:22.643226,41.27,24.15
2026-02-12T05:58:22.670921,32.67,30.42
2026-02-12T05:58:22.705284,39.41,25.23
2026-02-12T05:58:22.740719,35.85,27.63
2026-02-12T05:58:22.772040,34.40,28.95
2026-02-12T05:58:22.797988,27.49,36.19
2026-02-12T05:58:22.833938,27.36,36.31
2026-02-12T05:58:22.883478,45.89,21.63
2026-02-12T05:58:22.915880,42.25,23.60
2026-02-12T05:58:22.946982,43.08,23.15
2026-02-12T05:58:22.979742,41.35,23.80
2026-02-12T05:58:23.003938,35.79,27.83
2026-02-12T05:58:23.031303,26.57,37.45
2026-02-12T05:58:23.081976,45.52,21.91
2026-02-12T05:58:23.110123,38.72,25.74
2026-02-12T05:58:23.131483,24.69,40.32
2026-02-12T05:58:23.181865,39.33,25.32
2026-02-12T05:58:23.208606,35.27,28.25
